Date,Region,Product_Type,Units_Sold,Client_Type,Sales_Channel,Service_Contract,Customer_Satisfaction,Revenue,Maintenance_Cost
2023-01-01,Iași,Pallet Truck,4,Corporate,Direct,No,10,18900.12,701.14
2023-01-01,Constanța,Order Picker,5,SME,Dealer,Yes,6,54172.76,2482.87
2023-01-01,Cluj,Order Picker,1,SME,Dealer,No,9,13554.71,995.2
2023-01-01,Constanța,Electric Forklift,4,SME,Direct,No,6,111658.01,6173.31
2023-01-01,Cluj,Electric Forklift,1,SME,Direct,Yes,8,28951.7,937.47
2023-01-02,Cluj,Reach Truck,4,Dealer,Direct,Yes,8,86304.3,5549.1
2023-01-02,București,Order Picker,2,Corporate,Dealer,No,10,25416.17,772.02
2023-01-02,Timișoara,Order Picker,2,Corporate,Direct,No,7,24784.25,802.7
2023-01-02,Cluj,Order Picker,5,Dealer,Direct,No,6,63206.42,4543.49
2023-01-03,Iași,Reach Truck,2,SME,Direct,No,9,39535.28,2706.24
2023-01-03,Timișoara,Electric Forklift,3,SME,Dealer,No,8,89676.41,5073.64
2023-01-03,Iași,Order Picker,4,Corporate,Dealer,Yes,7,46227.94,3189.93
2023-01-03,Constanța,Electric Forklift,2,Corporate,Dealer,Yes,8,56448.35,2228.39
2023-01-03,Constanța,Electric Forklift,5,Corporate,Dealer,No,10,147875.63,11368.07
2023-01-04,Cluj,Reach Truck,3,SME,Direct,No,8,48702.48,2636.06
2023-01-04,București,Pallet Truck,3,SME,Direct,No,8,14352.1,447.18
2023-01-04,Iași,Reach Truck,3,Corporate,Direct,Yes,10,63955.76,4854.5
2023-01-05,Iași,Pallet Truck,4,Dealer,Dealer,No,10,18773.21,866.08
2023-01-05,Timișoara,Electric Forklift,3,Dealer,Direct,No,8,71571.79,2250.42
2023-01-06,București,Reach Truck,1,SME,Direct,Yes,6,19997.87,1175.17
2023-01-06,Timișoara,Electric Forklift,4,Corporate,Dealer,No,9,113115.27,5649.42
2023-01-06,București,Electric Forklift,4,Corporate,Direct,Yes,8,115145.32,7480.54
2023-01-06,București,Electric Forklift,3,Corporate,Direct,Yes,8,67520.79,2937.58
2023-01-06,București,Order Picker,3,Dealer,Direct,Yes,6,32726.57,2586.18
2023-01-06,Iași,Order Picker,4,SME,Direct,Yes,6,54648.54,4068.97
2023-01-07,Iași,Order Picker,2,Corporate,Direct,Yes,6,25444.9,1448.09
2023-01-07,Timișoara,Order Picker,5,SME,Direct,Yes,6,68463.25,2883.97
2023-01-08,Cluj,Reach Truck,4,Corporate,Direct,Yes,8,79280.39,6252.59
2023-01-08,Iași,Order Picker,4,SME,Direct,No,8,54506.87,1964.18
2023-01-08,Cluj,Order Picker,1,Corporate,Direct,Yes,9,12493.51,387.3
2023-01-08,Iași,Order Picker,3,Dealer,Dealer,No,7,37753.12,2903.02
2023-01-09,Constanța,Pallet Truck,5,Corporate,Direct,No,9,27968.03,926.74
2023-01-09,Cluj,Pallet Truck,2,Dealer,Direct,Yes,6,10168.77,462.16
2023-01-10,Constanța,Reach Truck,3,Corporate,Direct,Yes,8,50995.14,3647.6
2023-01-10,Cluj,Order Picker,1,Dealer,Dealer,Yes,9,13364.77,454.98
2023-01-10,Cluj,Reach Truck,1,Dealer,Direct,No,10,20067.82,1255.61
2023-01-10,Iași,Electric Forklift,5,Dealer,Direct,Yes,9,143471.09,8307.82
2023-01-10,Timișoara,Reach Truck,3,Corporate,Direct,Yes,10,52568.88,3684.1
2023-01-11,Iași,Electric Forklift,1,Corporate,Dealer,No,6,28681.48,1017.69
2023-01-11,Cluj,Order Picker,5,SME,Dealer,Yes,8,56081.08,3242.72
2023-01-11,Cluj,Electric Forklift,1,Corporate,Dealer,No,8,26040.35,1150.15
2023-01-11,Cluj,Reach Truck,1,Corporate,Direct,Yes,7,17118.5,1202.18
2023-01-11,Timișoara,Pallet Truck,1,SME,Direct,Yes,10,5639.78,291.98
2023-01-12,Cluj,Order Picker,5,Corporate,Direct,No,9,66071.56,4270.01
2023-01-12,Cluj,Pallet Truck,4,Corporate,Direct,Yes,9,20543.7,871.2
2023-01-12,Cluj,Reach Truck,5,SME,Direct,Yes,8,88717.39,5305.34
2023-01-12,Iași,Pallet Truck,4,Corporate,Direct,No,7,22795.13,1000.96
2023-01-13,Constanța,Order Picker,1,Corporate,Dealer,No,10,13917.55,1074.96
2023-01-13,Constanța,Electric Forklift,1,Corporate,Direct,Yes,7,25246.4,1934.87
2023-01-13,Cluj,Electric Forklift,3,Corporate,Direct,Yes,7,77205.06,2637.04
2023-01-14,Constanța,Electric Forklift,4,Corporate,Direct,No,9,114623.14,5603.85
2023-01-14,București,Reach Truck,4,SME,Direct,No,7,73436.77,3044.24
2023-01-14,Timișoara,Order Picker,3,SME,Dealer,Yes,9,35620.66,1868.82
2023-01-14,București,Electric Forklift,4,Dealer,Direct,Yes,9,94197.37,3604.91
2023-01-14,Constanța,Reach Truck,2,Corporate,Direct,No,10,36279.16,1942.46
2023-01-14,Constanța,Pallet Truck,4,Dealer,Dealer,Yes,9,18995.42,1505.81
2023-01-14,București,Electric Forklift,5,Corporate,Direct,No,10,139079.76,4469.38
2023-01-14,București,Electric Forklift,1,Dealer,Direct,Yes,10,27213.25,1619.72
2023-01-14,Constanța,Electric Forklift,1,Corporate,Direct,Yes,9,22805.22,1547.75
2023-01-14,Constanța,Reach Truck,5,SME,Dealer,Yes,8,82118.3,3277.61
2023-01-15,Iași,Electric Forklift,2,SME,Direct,Yes,6,47357.67,3686.79
2023-01-15,Cluj,Pallet Truck,2,SME,Direct,No,10,9714.69,741.69
2023-01-15,București,Electric Forklift,3,SME,Direct,Yes,6,89032.02,4059.61
2023-01-15,Cluj,Electric Forklift,3,SME,Direct,Yes,9,72230.08,3554.74
2023-01-16,Cluj,Pallet Truck,4,Corporate,Dealer,Yes,6,23879.27,1077.12
2023-01-16,Cluj,Reach Truck,3,Corporate,Direct,Yes,9,56274.44,1691.09
2023-01-16,Timișoara,Pallet Truck,2,Corporate,Direct,Yes,7,9619.28,709.12
2023-01-16,București,Reach Truck,2,Dealer,Direct,Yes,10,36813.97,2052.96
2023-01-17,Iași,Order Picker,4,SME,Direct,No,10,49142.2,3506.3
2023-01-17,Timișoara,Electric Forklift,5,Corporate,Dealer,Yes,10,117011.23,8297.98
2023-01-17,Iași,Reach Truck,2,Corporate,Dealer,No,8,39054.48,1366.81
2023-01-17,București,Order Picker,3,Corporate,Direct,Yes,10,37623.72,2082.35
2023-01-17,Timișoara,Reach Truck,3,Corporate,Dealer,Yes,9,53496.72,2918.78
2023-01-17,Iași,Pallet Truck,2,SME,Direct,No,8,10459.74,561.71
2023-01-18,Constanța,Order Picker,5,Dealer,Direct,Yes,10,63916.51,3767.06
2023-01-18,Constanța,Order Picker,5,Corporate,Direct,Yes,6,54565.6,1931.21
2023-01-18,Constanța,Order Picker,5,Dealer,Direct,No,9,65514.3,4948.77
2023-01-18,Cluj,Order Picker,5,Dealer,Direct,No,9,64910.64,4488.93
2023-01-18,București,Electric Forklift,3,Corporate,Direct,Yes,9,85856.48,2834.19
2023-01-19,Constanța,Electric Forklift,2,Dealer,Dealer,Yes,6,52817.99,3531.59
2023-01-19,Cluj,Electric Forklift,5,SME,Dealer,Yes,10,143382.73,6444.59
2023-01-19,Cluj,Order Picker,5,SME,Direct,Yes,10,63683.1,4570.43
2023-01-19,Cluj,Electric Forklift,3,Dealer,Direct,No,8,80282.62,2437.93
2023-01-19,Constanța,Electric Forklift,1,SME,Direct,Yes,8,26863.15,2014.65
2023-01-19,Iași,Reach Truck,5,Dealer,Direct,Yes,8,83617.42,5167.29
2023-01-20,Iași,Reach Truck,4,Dealer,Dealer,Yes,9,66032.76,2164.03
2023-01-20,Timișoara,Reach Truck,3,SME,Direct,Yes,10,60843.56,4202.65
2023-01-20,Iași,Pallet Truck,1,Corporate,Dealer,No,9,5176.34,267.72
2023-01-20,București,Reach Truck,3,Corporate,Direct,No,9,57215.53,2469.44
2023-01-20,Constanța,Reach Truck,3,Corporate,Dealer,Yes,6,53335.17,2315.98
2023-01-20,Constanța,Reach Truck,2,Corporate,Direct,Yes,9,35246.11,2740.64
2023-01-20,Cluj,Order Picker,4,Corporate,Dealer,Yes,7,48947.05,3766.91
2023-01-20,Constanța,Reach Truck,4,Corporate,Direct,No,6,73799.43,4102.33
2023-01-20,Constanța,Pallet Truck,5,Corporate,Direct,No,7,23364.88,1257.41
2023-01-20,Constanța,Electric Forklift,1,Corporate,Direct,No,7,25814.0,1726.99
2023-01-20,Cluj,Reach Truck,1,Corporate,Direct,Yes,6,17109.25,1050.18
2023-01-21,Cluj,Electric Forklift,4,Dealer,Direct,Yes,10,105012.22,6866.36
2023-01-22,Iași,Order Picker,3,Corporate,Dealer,Yes,6,34516.23,1534.55
2023-01-22,Constanța,Electric Forklift,5,Dealer,Direct,Yes,6,142235.0,7773.74
2023-01-22,Constanța,Order Picker,2,Dealer,Direct,No,9,24679.37,1208.98
2023-01-22,Timișoara,Pallet Truck,4,Corporate,Dealer,No,9,21344.92,689.94
2023-01-23,Timișoara,Pallet Truck,5,Corporate,Direct,Yes,10,28591.22,2157.65
2023-01-24,București,Electric Forklift,4,Corporate,Direct,No,10,94893.83,5468.09
2023-01-24,Constanța,Pallet Truck,1,SME,Direct,No,7,5257.22,269.24
2023-01-24,Constanța,Reach Truck,2,Corporate,Dealer,Yes,7,35648.29,1083.91
2023-01-24,Iași,Order Picker,5,SME,Dealer,No,9,71088.58,2530.55
2023-01-24,București,Electric Forklift,5,SME,Dealer,Yes,8,146255.58,6670.83
2023-01-24,Constanța,Pallet Truck,3,Corporate,Direct,No,7,17307.47,880.04
2023-01-25,Timișoara,Order Picker,1,Corporate,Dealer,Yes,10,12731.53,899.13
2023-01-25,Timișoara,Reach Truck,4,SME,Direct,Yes,9,76908.37,3566.84
2023-01-25,Iași,Reach Truck,4,Dealer,Direct,No,7,77576.2,2567.27
2023-01-25,Iași,Order Picker,5,Corporate,Dealer,No,9,66769.31,3407.18
2023-01-26,București,Pallet Truck,4,SME,Direct,No,8,18267.68,792.31
2023-01-26,Cluj,Reach Truck,3,SME,Direct,No,8,49316.72,1772.7
2023-01-26,Constanța,Electric Forklift,4,Corporate,Direct,Yes,7,92698.81,3815.23
2023-01-26,Cluj,Reach Truck,3,Corporate,Dealer,No,6,48995.25,2286.31
2023-01-26,Iași,Electric Forklift,5,Corporate,Dealer,Yes,6,123116.29,7204.08
2023-01-26,Iași,Electric Forklift,3,Corporate,Direct,Yes,10,84120.21,4464.17
2023-01-26,Constanța,Pallet Truck,2,SME,Direct,Yes,8,10030.3,682.87
2023-01-26,București,Pallet Truck,1,Dealer,Direct,Yes,7,5588.39,175.75
2023-01-26,Constanța,Pallet Truck,3,Dealer,Direct,Yes,8,16931.2,572.78
2023-01-27,Cluj,Electric Forklift,2,SME,Direct,Yes,6,50009.56,2153.48
2023-01-27,Timișoara,Reach Truck,1,Corporate,Dealer,Yes,6,19953.5,1283.72
2023-01-27,Cluj,Pallet Truck,2,Corporate,Direct,Yes,8,11430.53,393.51
2023-01-27,Constanța,Reach Truck,2,Corporate,Direct,No,7,37850.07,2115.35
2023-01-29,Iași,Reach Truck,5,Corporate,Direct,Yes,6,81644.91,2781.06
2023-01-29,Constanța,Pallet Truck,2,Corporate,Direct,No,10,9358.99,719.65
2023-01-29,Constanța,Order Picker,2,Corporate,Direct,No,7,26836.51,1405.21
2023-01-29,Constanța,Reach Truck,3,SME,Direct,No,9,63615.21,2485.33
2023-01-29,București,Reach Truck,5,Dealer,Direct,No,9,100567.03,3757.28
2023-01-29,Iași,Pallet Truck,1,Dealer,Direct,No,9,5727.99,267.73
2023-01-29,Iași,Order Picker,4,Corporate,Direct,Yes,8,47122.92,3021.65
2023-01-31,Iași,Order Picker,2,Corporate,Direct,Yes,9,23698.91,1094.02
2023-01-31,București,Order Picker,4,Corporate,Direct,No,8,51873.61,1791.32
2023-01-31,Constanța,Electric Forklift,1,SME,Direct,No,8,29898.58,1580.97
2023-01-31,Timișoara,Order Picker,3,Corporate,Direct,Yes,6,34057.26,1755.16
2023-01-31,Cluj,Pallet Truck,1,Dealer,Dealer,No,7,5170.77,173.84
